N°DPE;Etiquette_DPE;Année_construction;N°_voie_(BAN);Code_postal_(BAN);Nom__rue_(BAN);Nom__commune_(Brut);Conso_5_usages_é_finale
2125E0981916Z;D;1945;25;25000;Rue Ernest Renan;Besançon;37940,5
2113E1018248X;D;1948;;13120;Avenue Maurel Agricol;GARDANNE;9648,4
2359E1610286L;C;;18;59710;Rue Roille;AVELIN;8155,9
2144E0974339H;C;1976;3;44800;Rue d'Amiens;Saint-Herblain;7729,5
2192E1018146A;E;1983;8;92340;Place de la Gare;BOURG LA REINE;17952,1
2342E0053692U;D;;351;42800;Route Pre Chevalier;ST ROMAIN EN JAREZ;18391,8
2136E0953985D;E;1948;14;36000;Rue de Provence;CHATEAUROUX;12765,4
2113E1018171Y;D;1948;;13500;Allée du Mas de Pouane;MARTIGUES;10033,7
2373E3593234F;C;1972;119;73000;Rue du beaujolais;CHAMBERY;8772,4
2129E0737761O;F;1947;4;29650;Rue du Ponthou;LE PONTHOU;28106,6
2113E1018055M;D;1948;;13230;Hlm le Vauban;PORT SAINT LOUIS DU RHONE;9272,5
2342E3899826A;F;1956;1;42400;Rue de la font bénite;ST CHAMOND;13967,2
2143E0749479U;D;1948;25;43700;Chemin de Pimprenelle;BRIVES CHARENSAC;29359,9
2135E1018529O;D;1948;3;35200;Allée de Malmoe;RENNES;13103,1
2335E2833947K;C;2013;9;35000;Rue Roger-Henri Guerrand;Rennes;3284,5
2129E0597747K;D;1947;;29470;;PLOUGASTEL DAOULAS;21460,5
2175E1018515O;G;1947;211;75018;Rue Championnet;PARIS;18898,9
2375E1656580P;B;2016;21;75014;Rue des Mariniers;PARIS 14;7146,8
2106E0773595X;C;1989;11;06150;Avenue Pierre Sémard;CANNES LA BOCCA;1567,4
2169E1018784R;F;1948;62;69005;Rue de Champvert;LYON;23627
2393E2428043Y;C;2013;8;93290;Rue Yacine Kateb;TREMBLAY EN FRANCE;8926,6
2188E0777913D;E;1948;6;88700;Rue Andre Pernet;RAMBERVILLERS;15122
2224E1134692Z;C;2004;31bis;24100;Rue Chateaubriand;BERGERAC;4161,2
2394E2315509T;E;1975;3;94600;Avenue Pablo Picasso;CHOISY-LE-ROI;20007,8
2129E0672688T;C;1932;10;29200;Rue Abbé de l’Epée;BREST;21237,9
2292E2731154Z;G;1948;;;;CLICHY;5558,9
2331E1579602F;B;1998;22;31000;Rue Léonce Castelbou;Toulouse;1111,1
2178E0544813J;D;1975;97;78200;Rue de Fontenay;MAGNANVILLE;24785
2213E2019039X;C;1983;;13109;Place de l’Eglise;SIMIANE-COLLONGUE;5089,7
2376E2410963J;B;2009;10bis;76300;Rue Cite Grenet;SOTTEVILLE LES ROUEN;14810,5
2114E0845699L;F;1963;;14740;;STE CROIX GRAND TONNE;82179,2
2277E2464935F;D;1998;10;77700;Rue des Venvolles;BAILLY-ROMAINVILLIERS;5688,1
2386E0240858E;C;;26;86000;Rue Montesquieu;POITIERS;13790,1
2180E0714362O;E;1948;13;80560;Rue Raymond de Wazières;ACHEUX EN AMIENOIS;24891,4
2244E2667572R;G;1945;126;44730;Rue du Redois;ST MICHEL CHEF CHEF;4940,5
2334E3733007P;A;;19;34320;Avenue de la Resclauze;NEFFIES;3176,3
2154E0709577N;C;1989;118bis;54400;Rue de Lorraine;COSNES-ET-ROMAIN;27614,7
2267E1006219J;D;1995;17;67200;Rue des Cèdres;STRASBOURG;6330,2
2373E3593124Z;C;1972;119;73000;Rue du beaujolais;CHAMBERY;8681,2
2182E0714582C;E;1947;19;82140;Place du Pradel;SAINT-ANTONIN-NOBLE-VAL;40814,7
2249E2495512E;E;1945;2;49000;Cité Vauban;ANGERS;6522,6
2393E2576989Q;B;2013;10;93290;Rue Yacine Kateb;TREMBLAY EN FRANCE;6607,1
2129E0580832V;F;1948;14;29640;Route de Quénéquen;SCRIGNAC;43088,1
2283E1660728K;D;1973;;83400;Chemin de la Plaine de Bouisson;HYERES / GIENS;2902
2369E3689835M;C;;75;69620;Rue du Chêne;FRONTENAS;19927,3
2149E0801854L;F;1947;;49490;;NOYANT-VILLAGES;61905,2
2206E2342261G;C;1983;2686;47300;Route Nationale 21;VILLENEUVE-LOUBET;2574,3
2384E0853049X;D;1800;220;84820;Chemin de Pomeyrol;VISAN;21759,6
2186E0730604M;D;1975;32;86190;Rue de la Borne aux Moines;LATILLÉ;22731,2
2211E1495648K;D;2009;12;11800;Rue des Jardins du Chateau;Fontiès-d'Aude;7584,5
2354E2810085J;C;2019;1;54240;rue des chardons;JOEUF;7373,4
2152E0733197X;D;1947;5;52160;Route de Chatillon;AUBERIVE;20953,6
2206E1948388H;C;1983;26;06560;Rue de la Vigne Haute;VALBONNE;5227
2376E1120897L;D;1958;;76117;Place Montesquieu;INCHEVILLE;14396,1
2164E0541277V;C;2001;;64250;;LOUHOSSOA, France;11352,7
2251E2962122U;D;1945;12;51100;rue de Berru;REIMS;2953,7
2304E3344015F;D;;145;04800;Chemin du Hameau du Plan;GREOUX LES BAINS;19074
2159E0559081K;E;1947;;59470;;BAMBECQUE;35477,2
2251E1272915H;D;1989;plisieurs batiment;51100;de Taissy;Reims;5596,1
2354E3765001X;C;1989;19;54800;Lotissement les Cerisiers;MARS LA TOUR;9192
2177E0812073O;F;1956;2;77730;Route de Sainte-Aulde;MERY SUR MARNE;24830,5
2215E2353301F;F;1945;6;15000;Rue du Crucifix;AURILLAC;7457,4
2369E0729987E;C;;382;69290;Chemin du Mercier;POLLIONNAY;12452,1
2172E0830863B;C;1957;4;72000;Rue Béranger;LE MANS;5089,1
2283E2534901L;C;2006;15;83300;Avenue du 8 Mai 1945;DRAGUIGNAN;2569,3
2313E1254302Z;B;2014;95;13014;Traverse de party;MARSEILLE;2794,7
2167E0565612X;E;1948;1;67690;Place de la Gare;HATTEN, France;89981,2
2244E3131803S;D;2001;38;44840;Rue Georges Clemenceau;LES SORINIERES;8990,1
2385E3762278J;C;2013;3;85270;Square de la coursaudière;NOTRE-DAME-DE-RIEZ;7780,3
2160E0652209H;D;1975;5;60149;Square Saint Michel;ST CREPIN IBOUVILLERS;19463,2
2291E0172645T;G;1945;10;91300;Rue de la Division Leclerc;Massy;13269,7
2389E0405465I;G;1945;;89240;Le Grand Arran;Parly;27049,6
2189E0534027Y;D;1978;11;89000;Allée de Roncelin;AUXERRE;14566,6
2250E1837455I;D;2008;25;50360;Rue Abbe Levert;Picauville;7338,5
2324E2217430U;B;2010;14;24560;Route de Saint Capraise d’Eymet;BOUNIAGUES;7652,6
2189E0551939W;E;1947;11;89250;Rue Jean Jaurés;CHEMILLY SUR YONNE;48294,2
2233E2203864I;E;1945;15;33000;Rue Mandron;BORDEAUX;3670,7
